sample(0),sample(1),sample(2),sample(3),sample(4),sample(5),sample(6),AmplitudeSample(4)
94.2779,170.208,116.7842,53.8606,38.2632,52.5769,108.5257,0.0
170.208,116.7842,53.8606,38.2632,52.5769,108.5257,126.7096,0.0
116.7842,53.8606,38.2632,52.5769,108.5257,126.7096,126.4392,1.8736
53.8606,38.2632,52.5769,108.5257,126.7096,126.4392,163.7884,58.1314
38.2632,52.5769,108.5257,126.7096,126.4392,163.7884,109.3724,55.1647
52.5769,108.5257,126.7096,126.4392,163.7884,109.3724,54.8494,0.0
108.5257,126.7096,126.4392,163.7884,109.3724,54.8494,36.1432,119.5572
126.7096,126.4392,163.7884,109.3724,54.8494,36.1432,53.1659,4.1754
126.4392,163.7884,109.3724,54.8494,36.1432,53.1659,90.7965,0.0
163.7884,109.3724,54.8494,36.1432,53.1659,90.7965,68.3108,0.0
109.3724,54.8494,36.1432,53.1659,90.7965,68.3108,41.7692,0.0
54.8494,36.1432,53.1659,90.7965,68.3108,41.7692,55.9245,61.2451
36.1432,53.1659,90.7965,68.3108,41.7692,55.9245,118.9273,0.0
53.1659,90.7965,68.3108,41.7692,55.9245,118.9273,224.9455,0.0
90.7965,68.3108,41.7692,55.9245,118.9273,224.9455,249.9946,0.8757
68.3108,41.7692,55.9245,118.9273,224.9455,249.9946,191.276,52.637
41.7692,55.9245,118.9273,224.9455,249.9946,191.276,212.5405,96.9767
55.9245,118.9273,224.9455,249.9946,191.276,212.5405,172.2181,149.4831
118.9273,224.9455,249.9946,191.276,212.5405,172.2181,86.5137,0.0
224.9455,249.9946,191.276,212.5405,172.2181,86.5137,77.9988,113.6979
249.9946,191.276,212.5405,172.2181,86.5137,77.9988,85.5939,72.2028
191.276,212.5405,172.2181,86.5137,77.9988,85.5939,56.4992,0.0
212.5405,172.2181,86.5137,77.9988,85.5939,56.4992,70.539,0.0
172.2181,86.5137,77.9988,85.5939,56.4992,70.539,141.3395,54.1756
86.5137,77.9988,85.5939,56.4992,70.539,141.3395,156.0901,0.0
77.9988,85.5939,56.4992,70.539,141.3395,156.0901,91.8766,0.0
85.5939,56.4992,70.539,141.3395,156.0901,91.8766,46.3641,72.7172
56.4992,70.539,141.3395,156.0901,91.8766,46.3641,60.4186,86.8105
70.539,141.3395,156.0901,91.8766,46.3641,60.4186,145.6601,0.0
141.3395,156.0901,91.8766,46.3641,60.4186,145.6601,300.2998,0.0
156.0901,91.8766,46.3641,60.4186,145.6601,300.2998,356.2978,0.0
91.8766,46.3641,60.4186,145.6601,300.2998,356.2978,205.3718,47.5167
46.3641,60.4186,145.6601,300.2998,356.2978,205.3718,82.3286,136.2606
60.4186,145.6601,300.2998,356.2978,205.3718,82.3286,43.2933,224.441
145.6601,300.2998,356.2978,205.3718,82.3286,43.2933,34.5563,32.7081
300.2998,356.2978,205.3718,82.3286,43.2933,34.5563,91.6071,0.0
356.2978,205.3718,82.3286,43.2933,34.5563,91.6071,209.2187,0.0
